store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
832708516887791034,60,14,98,0,0,0
445481777696638394,60,23,167,0,0,0
8584051373895026106,60,13,91,0,0,0
3268587436830885310,60,9,63,0,0,0
8120291281787684286,60,8,62,0,0,0
1174210677082031554,60,11,57,0,0,35
2964897505220625860,60,23,45,0,0,99
2231334637585597893,60,10,70,0,0,0
8256382913688044999,60,13,94,0,0,0
1026252971907679697,0,0,8,60,8,53
4575866415455536597,60,23,167,0,0,0
8898277162234676691,0,10,25,60,13,142
8647403561533933014,60,8,74,0,0,0
4750355509645542875,60,19,131,0,0,0
4452511061815625182,60,11,79,0,0,0
529637112805787107,60,23,162,0,0,5
2017440595302647273,60,23,167,0,0,0
613649903511143917,60,7,33,0,0,15
6208528637894526443,60,23,167,0,0,0
6576479471648441837,60,8,47,0,0,11
1784537792990807535,0,0,14,60,14,87
5147632434109515245,60,15,105,0,0,0
6119368416474334707,60,13,97,0,0,0
350127637691106807,60,16,113,0,0,0
4885122260908115451,0,0,0,60,11,83
7944034839907239419,60,14,98,0,0,0
5617163336812398077,60,10,88,0,0,0
4612886666712811009,60,23,165,0,0,1
906102647776052743,0,0,8,60,8,51
7457598832917448197,60,10,76,0,0,0
4453022340796253704,60,7,66,0,0,0
387220392248313355,60,8,74,0,0,0
808041321894151693,60,9,66,0,0,0
7649568481438434829,60,9,81,0,0,0
7012029357698713102,60,11,97,0,0,0
7585867475992643089,60,23,63,0,0,104
4228217832592213525,0,0,17,60,17,107
4600218283954931228,0,0,10,60,10,60
5814035791712945692,60,11,59,0,0,14
5179831458365113887,60,10,71,0,0,0
6056054983606273575,60,15,105,0,0,0
3235085790433150505,60,12,127,0,0,0
4989915514804602407,60,6,64,0,0,0
7412069929279751721,60,23,167,0,0,0
8208082373878711853,60,11,77,0,0,0
7942275477999027758,60,23,167,0,0,0
6422142558680745524,60,18,132,0,0,0
1337082640451733051,60,23,63,0,0,104
8619642147335734844,60,9,63,0,0,0
5789640881970906690,60,5,10,0,0,25
